ArkboxInteractions,Duration,MovementDuration,MovementInteractions
266065,544194,412588,1700
56710,253030,116385,430
1380,154584,31061,916
0,29417,22165,648
7110,21106,15979,492
0,96478,35142,1049
0,7759,6128,152
27,28264,20851,698
0,71544,36410,1073
325,31717,23918,768
24,75548,56956,1730
0,14231,9553,1272
2362,122827,114381,1158
83695,32070,23154,561
138301,79216,27094,731
328783,146426,100808,1743
475737,126072,72034,2325
487018,395607,246274,2042
397581,431659,373818,2092
410117,220788,144469,2316
482613,452281,297559,3310
422771,184461,121117,2038
370752,292623,143563,2522
264511,183545,121174,2278
