ArkboxInteractions,Duration,MovementDuration,MovementInteractions
326757,1610122,1008489,3712
39592,545419,202257,1502
1443,247104,202626,3651
224,118275,88075,2704
259,64184,48322,1445
444,87401,64620,2069
0,105964,78838,2593
95,130477,104922,2303
4,198913,148202,4758
0,147092,110689,3231
48,74013,56175,1550
1480,103778,77641,2296
10329,84032,62738,1915
260922,481262,438253,1960
668518,689736,502756,5224
1101801,1132587,1009044,5584
1209643,692001,453322,6069
1039568,807578,644239,5192
913559,618745,450543,4945
1184085,781905,600392,5416
1420739,932751,515817,6963
1392131,1588928,1307282,8387
1426717,2035280,1476013,6559
894528,1823004,1422153,4898
